"VE_REF","VE_FLT","VE_COU","VE_LEN","VE_KW","VE_TON","FT_REF","FT_DCOU","FT_DHAR","FT_DDAT","FT_DTIME","FT_LCOU","FT_LHAR","FT_LDAT","FT_LTIME","LE_CDAT","LE_STIME","LE_ETIME","LE_SEQNUM","LE_GEAR","LE_MSZ","LE_RECT","LE_MET_level6","LE_UNIT","LE_EFF","LE_EFF_VMS","LE_KG_ANF","LE_KG_BAG","LE_KG_BIB","LE_KG_BLL","LE_KG_BRB","LE_KG_BSS","LE_KG_COD","LE_KG_COE","LE_KG_CRE","LE_KG_CSH","LE_KG_CTC","LE_KG_DAB","LE_KG_DGS","LE_KG_ELE","LE_KG_ERS","LE_KG_FLE","LE_KG_FPP","LE_KG_GUG","LE_KG_GUR","LE_KG_GUU","LE_KG_HAL","LE_KG_HER","LE_KG_JAX","LE_KG_JOD","LE_KG_LBE","LE_KG_LEM","LE_KG_LIN","LE_KG_MAC","LE_KG_MUR","LE_KG_MZZ","LE_KG_NEP","LE_KG_PIL","LE_KG_PLE","LE_KG_POK","LE_KG_POL","LE_KG_RAZ","LE_KG_RJC","LE_KG_RJH","LE_KG_RJM","LE_KG_SBR","LE_KG_SBX","LE_KG_SCE","LE_KG_SME","LE_KG_SOL","LE_KG_SPR","LE_KG_SQU","LE_KG_SRX","LE_KG_TIG","LE_KG_TUR","LE_KG_WEX","LE_KG_WHE","LE_KG_WHG","LE_KG_WIT","LE_EURO_ANF","LE_EURO_BAG","LE_EURO_BIB","LE_EURO_BLL","LE_EURO_BRB","LE_EURO_BSS","LE_EURO_COD","LE_EURO_COE","LE_EURO_CRE","LE_EURO_CSH","LE_EURO_CTC","LE_EURO_DAB","LE_EURO_DGS","LE_EURO_ELE","LE_EURO_ERS","LE_EURO_FLE","LE_EURO_FPP","LE_EURO_GUG","LE_EURO_GUR","LE_EURO_GUU","LE_EURO_HAL","LE_EURO_HER","LE_EURO_JAX","LE_EURO_JOD","LE_EURO_LBE","LE_EURO_LEM","LE_EURO_LIN","LE_EURO_MAC","LE_EURO_MUR","LE_EURO_MZZ","LE_EURO_NEP","LE_EURO_PIL","LE_EURO_PLE","LE_EURO_POK","LE_EURO_POL","LE_EURO_RAZ","LE_EURO_RJC","LE_EURO_RJH","LE_EURO_RJM","LE_EURO_SBR","LE_EURO_SBX","LE_EURO_SCE","LE_EURO_SME","LE_EURO_SOL","LE_EURO_SPR","LE_EURO_SQU","LE_EURO_SRX","LE_EURO_TIG","LE_EURO_TUR","LE_EURO_WEX","LE_EURO_WHE","LE_EURO_WHG","LE_EURO_WIT"
"1536","GNS_DEM","NLD",NA,221,NA,"447654","NLD","DHR","03/01/2009"," 4:00:00","NLD","DHR","03/01/2009","14:00:00",NA,NA,NA,NA,"GNS","140","34F5",NA,"KWDAYS",92.82,NA,0,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.588696852969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"196","TBB_DEM","NLD",40,2170,NA,"447655","NLD","STD","01/01/2009","17:00:00","NLD","IJM","03/01/2009","20:00:00",NA,NA,NA,NA,"TBB","80","32F2",NA,"KWDAYS",4622.1,NA,0,0,150,0,0,180,595,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7350,0,0,0,0,0,0,0,0,0,0,1400,0,0,0,0,41,0,0,1280,0,0,0,60.5828111011638,0,0,1697.84537053182,1796.81593284396,0,0,0,0,292.672896814593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12269.8648576357,0,0,0,0,0,0,0,0,0,0,18037.0500476272,0,0,0,0,624.043226436595,0,0,1012.69757870741,0
"196","TBB_DEM","NLD",40,2170,NA,"447655","NLD","STD","01/01/2009","17:00:00","NLD","IJM","03/01/2009","20:00:00",NA,NA,NA,NA,"TBB","80","33F2",NA,"KWDAYS",4622.1,NA,0,0,60,93,0,630,607,0,0,0,0,135,0,0,0,80,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,3360,0,0,0,0,0,73,0,0,0,0,680,0,0,0,0,62,0,0,360,0,0,0,24.2331244404655,1036.70017216981,0,5942.45879686138,1833.05423737190,0,0,0,0,125.431241491968,0,0,0,43.9247239207812,0,0,0,0,0,0,0,0,0,193.058492482731,0,0,0,0,0,0,5609.08107777632,0,0,0,0,0,232.015467523198,0,0,0,0,8760.85288027608,0,0,0,0,943.675122904119,0,0,284.821194011460,0
"2464","GNS_DEM","NLD",11.35,112,NA,"447662","NLD","IJM","04/01/2009"," 7:00:00","NLD","IJM","04/01/2009","16:00:00",NA,NA,NA,NA,"GNS","140","34F4",NA,"KWDAYS",42.56,NA,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129.853924558471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"495","GNS_DEM","NLD",5,11,NA,"447663","NLD","IJM","04/01/2009"," 7:00:00","NLD","IJM","04/01/2009","16:00:00",NA,NA,NA,NA,"GNS","140","34F4",NA,"KWDAYS",4.18,NA,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.834065847809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"495","GNS_DEM","NLD",5,11,NA,"447664","NLD","IJM","03/01/2009"," 6:00:00","NLD","IJM","03/01/2009","16:00:00",NA,NA,NA,NA,"GNS","140","34F4",NA,"KWDAYS",4.62,NA,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120.794348426484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"442","GTR_DEM","NLD",5,11,NA,"447666","NLD","EAZ","02/01/2009","14:00:00","NLD","EAZ","02/01/2009","16:00:00",NA,NA,NA,NA,"GTR","140","34F4",NA,"KWDAYS",0.88,NA,0,0,0,0,0,0,6,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1191522639727,0,0,0,0,27.8736092204374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1004","TBB_DEM","NLD",41,1765,NA,"447667","NLD","TEX","02/01/2009"," 8:00:00","NLD","IJM","05/01/2009"," 5:00:00",NA,NA,NA,NA,"TBB","80","34F3",NA,"KWDAYS",5083.2,NA,0,0,0,54,0,0,395,0,0,0,0,246,0,0,0,950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3713,0,0,0,0,0,0,0,0,0,0,949,0,0,0,0,90,0,0,395,0,0,0,0,601.954938679245,0,0,1192.84419071153,0,0,0,0,228.563595607587,0,0,0,521.606096559277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6198.36846481651,0,0,0,0,0,0,0,0,0,0,12226.5432108559,0,0,0,0,1369.85098486082,0,0,312.512143429240,0
"1004","TBB_DEM","NLD",41,1765,NA,"447667","NLD","TEX","02/01/2009"," 8:00:00","NLD","IJM","05/01/2009"," 5:00:00",NA,NA,NA,NA,"TBB","80","34F4",NA,"KWDAYS",5083.2,NA,0,0,0,20,0,0,200,0,0,0,0,100,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,400,0,0,0,0,40,0,0,100,0,0,0,0,222.946273584906,0,0,603.971742132422,0,0,0,0,92.9120307347914,0,0,0,109.811809801953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,667.747747354324,0,0,0,0,0,0,0,0,0,0,5153.44287075064,0,0,0,0,608.822659938141,0,0,79.1169983365165,0
"1024","TBB_DEM","NLD",41,1471,NA,"447668","NLD","OHI","02/01/2009","10:00:00","NLD","IJM","05/01/2009"," 4:00:00",NA,NA,NA,NA,"TBB","80","33F2",NA,"KWDAYS",4045.25,NA,0,0,60,50,0,0,950,0,0,0,0,75,0,0,0,200,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,4200,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,30,0,0,70,0,0,0,24.2331244404655,557.365683962264,0,0,2868.86577512901,0,0,0,0,69.6840230510936,0,0,0,109.811809801953,0,0,0,0,0,0,0,0,0,182.5280292564,0,0,0,0,0,0,7011.3513472204,0,0,0,0,0,0,0,0,0,0,7730.16430612595,0,0,0,0,456.616994953606,0,0,55.3818988355616,0
